index,window_idx,stock_idx,ticker,score,start_date,end_date
67,26,6,PG,9.37864,2023-05-10,2023-05-12
68,26,16,TSLA,9.35898,2023-05-10,2023-05-12
69,26,17,GOOGL,10.212,2023-05-10,2023-05-12
70,26,19,GOOG,10.1249,2023-05-10,2023-05-12
71,27,4,ABBV,9.77578,2023-05-15,2023-05-17
72,27,10,NVDA,10.33,2023-05-15,2023-05-17
73,27,11,HD,9.74458,2023-05-15,2023-05-17
74,27,21,UNH,9.57227,2023-05-15,2023-05-17
75,28,6,PG,12.1991,2023-05-18,2023-05-22
76,28,8,KO,11.2627,2023-05-18,2023-05-22
77,28,25,TMUS,12.1496,2023-05-18,2023-05-22
78,29,10,NVDA,12.9587,2023-05-23,2023-05-25
79,29,20,AVGO,10.6378,2023-05-23,2023-05-25
80,30,10,NVDA,10.9201,2023-05-26,2023-05-31
81,30,20,AVGO,10.7774,2023-05-26,2023-05-31
82,30,29,CRM,10.0396,2023-05-26,2023-05-31
83,31,4,ABBV,9.60326,2023-06-01,2023-06-05
84,31,25,TMUS,11.5362,2023-06-01,2023-06-05
85,32,10,NVDA,8.66488,2023-06-06,2023-06-08
86,32,25,TMUS,8.87467,2023-06-06,2023-06-08
87,33,5,ORCL,10.518,2023-06-09,2023-06-13
88,33,10,NVDA,9.0103,2023-06-09,2023-06-13
89,33,16,TSLA,8.25521,2023-06-09,2023-06-13
90,34,10,NVDA,9.8803,2023-06-14,2023-06-16
91,34,21,UNH,12.4376,2023-06-14,2023-06-16
92,35,1,BAC,10.6093,2023-06-20,2023-06-22
93,35,12,XOM,9.48747,2023-06-20,2023-06-22
94,35,16,TSLA,9.48142,2023-06-20,2023-06-22
95,35,22,PLTR,9.34456,2023-06-20,2023-06-22
96,36,10,NVDA,9.70468,2023-06-23,2023-06-27
97,36,11,HD,10.7665,2023-06-23,2023-06-27
98,37,8,KO,9.42551,2023-06-28,2023-06-30
99,37,10,NVDA,9.71177,2023-06-28,2023-06-30
100,37,24,AAPL,9.03538,2023-06-28,2023-06-30
101,38,5,ORCL,8.39336,2023-07-03,2023-07-06
102,38,21,UNH,9.44727,2023-07-03,2023-07-06
