Price,Close,High,Low,Open,Volume
2023-09-25,187.10565185546875,187.88367818355385,184.18305328852114,187.41486549609195,726000
2023-09-26,184.38255310058594,186.55703296008906,183.70426478592654,185.6892379068271,841700
2023-09-27,189.63922119140625,190.0282343537118,185.93861153310007,186.97597489251396,1261800
2023-09-28,188.4422607421875,191.7239495738366,188.1430163326452,189.33000951770114,774700
2023-09-29,186.67601013183594,190.59772565991997,185.80783212680106,189.73953633845846,910900
2023-10-02,176.26795959472656,186.72588231799293,175.11039913645578,186.48639755190308,2088200
2023-10-03,169.0132598876953,176.16815626165925,168.00539267986494,174.84097097107727,2950100
2023-10-04,171.3882598876953,171.5179909540251,163.54481402263343,168.15507849904924,2620500
2023-10-05,167.87567138671875,171.3283906689194,167.2869176932365,169.9113832859692,1914200
2023-10-06,172.3462371826172,173.45389986009852,165.4108634017596,167.1272418790577,1648400
2023-10-09,173.52374267578125,173.72331837941303,169.86147445953003,171.2086371056823,1055000
2023-10-10,177.25587463378906,178.4832797032456,173.64348884457263,173.83309109649082,1421800
2023-10-11,178.94229125976562,179.70068492942556,177.21592433385757,177.71487114389262,813500
2023-10-12,177.5352783203125,181.0678154479,176.39768006973517,180.16971717568367,1080100
2023-10-13,173.16452026367188,179.14190996514787,171.69761507171242,178.5032585039762,944700
2023-10-16,176.0084991455078,176.49745732308355,173.23435582299524,175.32992349828365,696400
2023-10-17,179.02212524414062,179.551007691602,174.37195213400764,174.84096339521295,729100
2023-10-18,171.67764282226562,177.11617621897156,171.37828686329001,177.09621407948953,770400
2023-10-19,168.38458251953125,172.80524414684302,168.25485147054908,171.108827961614,1442300
2023-10-20,164.35308837890625,169.61199241046597,163.5447969229198,168.97334105528478,1908600
2023-10-23,165.12147521972656,166.43868701349075,162.62674091741204,163.86413461295396,1261300
2023-10-24,166.89772033691406,173.77320728014308,166.88774688156693,169.39245457214446,1249200
2023-10-25,167.87567138671875,170.2905725796326,167.2669555535749,167.556353285389,1063900
2023-10-26,166.89772033691406,169.34255684210999,166.02955769558167,168.54423884150637,919900
2023-10-27,164.52273559570312,167.0773411269206,163.49490626441874,167.01746993894676,810800
2023-10-30,164.41297912597656,167.2370204435815,162.2176157830047,165.96970626443235,1106900
2023-10-31,166.7679901123047,167.32680814750742,163.7044643740863,164.48282024121147,1573500
2023-11-01,159.28378295898438,164.5027778236803,153.41617852517632,163.71443329633777,4262000
2023-11-02,174.71124267578125,174.88088278909188,165.88986542372618,169.64194050867684,3054400
2023-11-03,168.8236541748047,177.6250841948233,167.00749550145716,176.1681526472072,1758100
2023-11-06,168.1051788330078,168.91347029100936,165.02167573818602,168.69393245962013,1114400
2023-11-07,164.73231506347656,167.15718975834366,163.59471670786272,166.66823152735395,1093700
2023-11-08,169.40243530273438,170.65979115634514,166.7679964462571,169.82154884505462,1801900
2023-11-09,169.2128448486328,174.62142696591758,167.7459398669603,171.3583102488655,1670600
2023-11-10,173.703369140625,174.10252054254119,169.3525518624788,170.94917269679348,1406000
2023-11-13,175.86880493164062,177.16605466183313,173.25431287893034,173.66345298234214,1273900
2023-11-14,182.46487426757812,184.39080185395406,179.19178405765274,179.62087105192927,1520800
2023-11-15,183.33303833007812,186.90549973087056,183.21329595432923,183.7521518718493,1517900
2023-11-16,182.91392517089844,185.08932621035376,181.81623596873746,182.80415625068233,846400
2023-11-17,182.72430419921875,184.80989824294676,181.82620601795887,183.89183792551597,633900
2023-11-20,183.74217224121094,184.66023261995005,181.38714249517602,182.82411186247182,806300
2023-11-21,182.9738006591797,184.56044808506107,182.68441816816343,183.43283848904903,733500
2023-11-22,183.42283630371094,184.10141192921876,181.8262155393471,183.12346515206482,789600
2023-11-24,182.19546508789062,183.9018550831244,181.61668481457997,183.26320361372163,329300
2023-11-27,185.31886291503906,185.48850303257524,181.06782561369997,181.74640131049554,1191100
2023-11-28,180.9580535888672,186.03732925160026,180.58883776447246,185.03943547613284,1185300
2023-11-29,185.21905517578125,186.03732011361376,182.25530959008748,182.6345140786671,1580400
2023-11-30,187.9133758544922,188.38238715066925,185.78785722401528,186.69594422100926,1889900
2023-12-01,190.14865112304688,192.47374531456435,186.18701184210443,187.41441685251073,1012500
2023-12-04,189.24057006835938,190.22849036207458,187.93333169262476,188.77155878790722,686400
2023-12-05,189.03102111816406,190.51788840811085,186.76581308473595,188.7516120635857,896400
2023-12-06,191.44593811035156,192.75317659640055,189.7794420084073,190.7374267886078,1007300
2023-12-07,193.9705810546875,194.33979684883013,191.40598695307685,191.40598695307685,1266300
2023-12-08,198.830322265625,199.1696024735644,194.30986496499523,194.5892739864335,1477600
2023-12-11,201.33502197265625,201.34501065444115,198.71057196692095,198.8303143351472,962700
2023-12-12,204.83767700195312,206.14491552290332,201.07561288452212,201.3649954043313,1050500
2023-12-13,209.8370819091797,211.1143846020377,204.88753778101733,204.88753778101733,1481100
2023-12-14,215.34547424316406,216.79241713498348,211.8428574364564,211.92269076363507,1496800
2023-12-15,214.56710815429688,216.5030243732239,212.5413851565494,215.0161572750486,1792700
2023-12-18,214.5471649169922,215.64485417699527,213.5093620747945,214.70683157783824,893500
2023-12-19,217.25143432617188,218.03976361388334,214.54713582144126,215.56499161298603,1537100
2023-12-20,212.4515838623047,218.70838224979275,212.29193242660983,216.15377655886297,1441900
2023-12-21,212.0025177001953,215.27560788260615,210.68530590807865,213.6689983848591,1014800
2023-12-22,213.58917236328125,213.70892996785926,210.49571086249642,213.17005881388397,766500
2023-12-26,214.20787048339844,215.02613541935483,213.62909029618544,213.84862813363347,395000
2023-12-27,215.4951629638672,215.57499629502797,214.0581934562752,214.68687142250945,454100
2023-12-28,216.01406860351562,216.7924245367699,214.8964324381558,216.54295109081275,474200
2023-12-29,215.43504333496094,216.50322583599927,214.17716449056263,215.32522875700528,457100
2024-01-02,208.91607666015625,214.46667088038257,207.9177679088067,213.22876254483535,1068800
2024-01-03,201.39881896972656,205.22234342904576,201.08933045190014,203.6949169797189,1354600
2024-01-04,199.73162841796875,202.49693254225963,199.40218471984036,200.60015211022787,1271700
2024-01-05,198.74331665039062,200.9795338340951,197.79492634214847,199.1326564709525,722000
2024-01-08,205.2223358154297,205.61167561626945,197.7050569587834,198.74330658301116,1071200
2024-01-09,203.7548370361328,204.06431033424155,201.01946537497471,203.27563783294792,597200
2024-01-10,203.2955780029297,203.98441342607617,199.80149763982385,203.42536300525626,696400
2024-01-11,202.12757873535156,203.74483407503652,200.32064229128716,203.5851010152451,743300
2024-01-12,202.11761474609375,203.3255599137988,201.21912764898227,203.3255599137988,525400
2024-01-16,201.0294189453125,201.9179130829748,199.96123655267627,200.61013111739138,589900
2024-01-17,199.8214874267578,200.68003357985674,198.64347515483934,198.7233416845442,400900
2024-01-18,201.56851196289062,203.15581912965882,199.721634786701,200.92959500836233,455500
2024-01-19,202.087646484375,203.08595530123122,199.0727648252174,202.6566898218152,617900
2024-01-22,203.1159210205078,204.16413310441413,201.86803498444425,202.88629902212375,668400
2024-01-23,195.22926330566406,204.11422062050087,186.95329019119472,204.11422062050087,3326300
2024-01-24,192.95314025878906,196.55703594640687,192.2942527381423,195.94806691665477,1200200
2024-01-25,197.6551513671875,198.3339939932349,193.17273967584842,195.35903823658867,1067500
2024-01-26,195.968017578125,198.31403408351642,194.09119218742535,198.06445688722053,870500
2024-01-29,196.7267303466797,197.2957736764091,194.57037967557363,195.66852545242858,1013800
2024-01-30,196.9164276123047,197.23589376741205,194.15110773497221,195.87819307417513,1297100
2024-01-31,193.72181701660156,197.37563071699162,193.19271459492015,197.1260535281614,1195100
2024-02-01,199.9213104248047,201.02943377785033,195.24923265497964,195.30912874439025,1134300
2024-02-02,204.15414428710938,205.7414515818854,197.12605722052044,198.3938983957782,1131700
2024-02-05,201.84805297851562,203.7248783437845,200.17088632098148,202.04771168625035,924100
2024-02-06,205.76141357421875,205.9411018343327,199.89135334944552,201.7981266854494,1010100
2024-02-07,208.5467071533203,210.58326568390078,205.85127637624265,207.23892503170381,1020300
2024-02-08,207.41864013671875,211.42185325921022,206.71982696774057,208.4768451115978,751500
2024-02-09,209.75465393066406,210.64314811671858,206.08086977695604,207.64822184017757,684200
2024-02-12,211.24215698242188,211.76126661232178,209.0159172978351,209.0159172978351,724100
2024-02-13,206.4901885986328,208.64653926320202,205.4719245900724,207.31878673084182,725100
2024-02-14,212.28038024902344,212.58985353628566,207.59830959209964,208.48680380484544,943500
2024-02-15,213.69798278808594,214.12726350026287,210.39358304328374,213.54824255882866,684500
2024-02-16,211.08241271972656,213.7578729616071,210.65313201943485,213.6780064305532,712500
2024-02-20,208.84617614746094,209.00590919472958,206.26056028084977,208.12739266773386,968800
2024-02-21,210.86279296875,211.71136157017003,206.23064059198606,207.51845228431094,1116100
2024-02-22,232.5360565185547,235.59089417718488,220.69612902643954,221.82420758797986,2317000
2024-02-23,233.99359130859375,236.90865108053472,230.3297999613363,235.11169225317855,1515100
2024-02-26,235.24148559570312,238.5958037811932,232.82558012177626,233.98362198851314,1315700
2024-02-27,239.1648406982422,240.66230386174186,235.79055216193504,238.61576782502905,1200100
2024-02-28,238.22642517089844,239.5042591698742,236.1100002332963,239.5042591698742,723000
2024-02-29,241.10153198242188,241.74044894992522,236.4494249532486,239.40441021558323,1712700
2024-03-01,240.4825897216797,242.1297930354615,238.5758163885992,239.51422903348623,845900
