index,stock_idx,time_period,stock_ticker,score
4499,9,449,ORCL,1.4591802915731131
4509,9,450,ORCL,1.618207783533918
4519,9,451,ORCL,1.0801686149616971
4527,7,452,DLR,0.582347771106541
4537,7,453,DLR,0.6886652936406475
4547,7,454,DLR,0.7053484814204466
4559,9,455,ORCL,1.337050602771766
4601,1,460,TECH,0.6388709425945251
4606,6,460,NWS,0.9293081409010119
4616,6,461,NWS,0.7865163673647781
4631,1,463,TECH,0.7976018705876048
4646,6,464,NWS,0.6949236420675823
4700,0,470,MDT,0.5029391046558335
4766,6,476,NWS,0.6205939840610626
4776,6,477,NWS,0.5021461590742184
4942,2,494,HAL,0.6127402043285481
4944,4,494,BG,2.0571603144664032
4945,5,494,LLY,0.6091006717133685
4950,0,495,MDT,0.7620884285860338
4952,2,495,HAL,0.7357224805820268
4954,4,495,BG,2.319406513704868
4960,0,496,MDT,0.6523099389119899
4964,4,496,BG,2.4139103933963715
4981,1,498,TECH,2.20926956278725
4991,1,499,TECH,1.862192951500081
5001,1,500,TECH,0.967123296567994
5026,6,502,NWS,1.06674220001708
5098,8,509,ALLE,0.7392565412852269
5108,8,510,ALLE,0.48571846973757243
5117,7,511,DLR,0.5419383002145847
5151,1,515,TECH,0.5440997641827484
5157,7,515,DLR,0.8611327082983031
5196,6,519,NWS,0.7411463545414202
5206,6,520,NWS,0.539549784119285
5216,6,521,NWS,0.8137788424077701
5256,6,525,NWS,0.6608166128353633
5324,4,532,BG,0.5395581311690497
5329,9,532,ORCL,0.5774786834779784
5334,4,533,BG,0.6192961675278499
5337,7,533,DLR,0.5925689655817702
5344,4,534,BG,0.573583944461747
5424,4,542,BG,1.3158511330436407
5434,4,543,BG,0.8078713864916355
5459,9,545,ORCL,1.3337091463499804
